What is your Gender?,What is your Age?,"02)	What is your university?","03)	What is your Academic Year?",What is your Faculty?,What is your study location?,What is the city of study location?,Do you engage with e-learning?,What is the mode of your internet connection?,What is your internet connection strength?,What device do you use for e-learning?,How much time do you spend each day on an average on distance education?,How effective has e-learning been for you?,How helpful your University has been in offering you the resources to learn from e-learning?,Do you enjoy learning remotely?,How helpful are your teachers while studying online?,How satisfied or dissatisfied were you with the content of the courses?,How satisfied or dissatisfied were you with the format of the courses in e-learning?,How satisfied or dissatisfied were you with the online interaction you had with the instructor?,How satisfied or dissatisfied were you with the amount of online interaction you had with other students?,The course instructor was accessible to answer questions or give feedback.,The presentation of course topics was clear.,How do you feel overall about e-learning?,How stressful were your students while learning remotely during the COVID-Not at all stressful9 pandemic?,How peaceful is the environment at home while e-learning?,How much satisfied with the internet connection for e-learning?,Your comments on e learning satisfaction if any?
Female,24,University of the Visual and Performing Arts,3,Applied Sciences,Home,Kurunegala,No,Mobile,1,Smartphone,10+ hours,Slightly effective,Moderately helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Satisfied,Undecided,Disagree,Very good,Very stressful,Extremely helpful,Very Dissatisfied,p
Male,21,University of Sri Jayewardenepura,3,Applied Sciences,Home,Kurunegala,Yes,WiFi Router,3,Laptop;Smartphone,1-3 hours,Very effective,Very helpful,"Yes, but I would like to change a few things",Very helpful,Satisfied,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Very good,Slightly stressful,Slightly helpful,Satisfied,
Male,29,Open University,3,Social sciences ,Home,Kurunegala ,Yes,WiFi Router,3,Laptop,3-5 hours,Moderately effective,Not at all helpful,"No, there are quite a few challenges",Slightly helpful,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Undecided,Undecided,Good,Very stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,29,University of Sri Jayewardenepura,2,Faculty of Management,Home,Kurunegala,Yes,Mobile;WiFi Router,3,Laptop;Smartphone,5-7 hours,Moderately effective,Moderately helpful,"Yes, but I would like to change a few things",Moderately helpful,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Agree,Disagree,Good,Moderately stressful,Moderately helpful,Dissatisfied,"Though it helpful for theory subjects, is not more practical for practical subjects.

Will makes some long term diseases such as eye pain & vision problems. 

E learning will makes machinery people instead of peoples with humanity, in the near future."
Male,28,University of Colombo,2,UCSC,Home,Bulathsinhala ,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Moderately effective,Moderately helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Agree,Agree,Good,Very stressful,Very helpful,Neither Satisfied or Dissatisfied,
Male,26,Open University,1,Computer science ,Home,Maho,Yes,Mobile,2,Laptop,5-7 hours,Moderately effective,Moderately helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Satisfied,Undecided,Disagree,Fair,Moderately stressful,Extremely helpful,Dissatisfied,
Male,23,University of Sri Jayewardenepura,2,Appied Sciences,Home,Negombo,Yes,Mobile,3,Laptop,1-3 hours,Moderately effective,Moderately helpful,"No, there are quite a few challenges",Not at all helpful,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Strongly Agree,Agree,Good,Very stressful,Moderately helpful,Dissatisfied,
Female,21,Open University,1,Software enginnering,Home,matata ,Yes,Mobile,2,Laptop,1-3 hours,Moderately effective,Moderately helpful,"Yes, but I would like to change a few things",Moderately helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Satisfied,Agree,Agree,Good,Moderately stressful,Moderately helpful,Dissatisfied,
Female,29,Eastern University,6,Faculty of Siddha Medicine and Surgery ,Home,Kurunegala ,Yes,Mobile,1,Smartphone,1-3 hours,Slightly effective,Not at all helpful,"No, not at all",Not at all helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Undecided,Agree,Poor,Extremely stressful,Moderately helpful,Very Dissatisfied,worse 
Male,29,University of Sri Jayewardenepura,4,Applied Science,Home,Kalubowila ,Yes,Mobile;WiFi Router,4,Laptop;Smartphone,1-3 hours,Very effective,Very helpful,"Yes, but I would like to change a few things",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Good,Slightly stressful,Very helpful,Satisfied,
